title,release year,ratingDescription
The Angry Birds Movie,2016,60.0
The BFG,2016,60.0
The Batman,2007,41.0
The Benchwarmers,2006,80.0
The Blacklist,2016,90.0
The Boxcar Children,2014,35.0
The Brave Little Toaster Goes to Mars,1998,35.0
The Brave Little Toaster to the Rescue,1997,35.0
The Brothers,2001,100.0
The Carmichael Show,2016,90.0
The Carrie Diaries,2013,90.0
The Cat in the Hat Knows a Lot About That!,2014,10.0
The Cleveland Show,2012,90.0
The Client List,2013,90.0
The Crown,2016,110.0
The Deep,2015,41.0
The Discovery,2017,110.0
The Do-Over,2016,110.0
The Doctor Blake Mysteries,2016,110.0
The Emperor's New Groove,2000,35.0
The Fall,2016,110.0
The Flash,2016,70.0
The Following,2015,90.0
The Fosters,2016,90.0
The Fox and the Hound 2,2006,35.0
The Furchester Hotel,2015,10.0
The Get Down,2017,110.0
The Girl in the Book,2015,110.0
The Great British Baking Show,2016,70.0
The Great Gilly Hopkins,2016,60.0
The Gruffalo,2009,10.0
The Hero of Color City,2014,35.0
The Honorable Woman,2014,110.0
The Hunter,2011,100.0
The Iron Giant,1999,60.0
The Jungle Book,2016,60.0
The Killing,2014,90.0
The L Word,2009,110.0
The Land Before Time XIV: Journey of the Brave,2016,35.0
The Last Unicorn,1982,35.0
The Life Aquatic with Steve Zissou,2004,100.0
The Little Engine That Could,2011,35.0
The Little Prince,2015,60.0
The Little Rascals,1994,60.0
The Lizzie McGuire Movie,2003,60.0
The Magic School Bus,1997,10.0
The Magicians,2016,110.0
The Matchbreaker,2016,60.0
The Mr. Peabody and Sherman Show,2017,41.0
The Night Shift,2015,90.0
The Nightmare Before Christmas,1993,60.0
The OA,2016,110.0
The Office (U.S.),2012,90.0
The Originals,2016,90.0
The Pacifier,2005,60.0
The Pirate Fairy,2014,35.0
The Prince of Egypt,1998,60.0
The Real Ghostbusters,1990,41.0
The Returned,2015,90.0
The Road to El Dorado,2000,60.0
The Secret Life of Pets,2016,60.0
The Secret Life of the American Teenager,2013,90.0
The Seven Deadly Sins,2016,90.0
The Smurfs and the Magic Flute,1976,35.0
The Super Mario Bros. Super Show!,1989,41.0
The Three Musketeers,2004,35.0
The Tudors,2010,110.0
The Vampire Diaries,2017,90.0
The Very Hungry Caterpillar and Other Stories,1993,10.0
The Walking Dead,2015,110.0
The Waterboy,1998,80.0
The Wedding Party,2016,90.0
The Wedding Planner,2001,80.0
The West Wing,2005,90.0
Thomas & Friends: King of the Railway,2013,35.0
Thomas & Friends: Thomas & the Runaway Kite,2010,10.0
Thunder and the House Of Magic,2013,35.0
Touch,2012,90.0
Tramps,2017,110.0
Transformers Prime,2013,42.0
Transformers Prime Beast Hunters: Predacons Rising,2013,42.0
Transformers: Rescue Bots,2016,41.0
Transformers: Robots in Disguise,2016,41.0
Transporter: The Series,2014,110.0
Travelers,2016,110.0
Trollhunters,2016,42.0
Trouble with the Curve,2012,80.0
Twilight,2008,80.0
Unbreakable Kimmy Schmidt,2016,90.0
Unconditional,2012,80.0
Underdogs,2013,60.0
VeggieTales in the House,2016,10.0
Velvet,2016,90.0
Voltron: Legendary Defender,2017,42.0
Walt Disney Animation Studios Short Films Collection,2015,35.0
We're Back! A Dinosaur's Story,1993,35.0
Weeds,2012,110.0
White Chicks,2004,80.0
White Collar,2014,70.0
White Girl,2016,124.0
Wiener Dog Internationals,2015,35.0
Win It All,2017,110.0
Winnie the Pooh: Springtime with Roo,2004,35.0
Witches of East End,2014,90.0
Word Party,2016,10.0
Worms,2013,60.0
Yellowbird,2014,60.0
Young Justice,2012,70.0
Zoobabu,2010,10.0
Zootopia,2016,60.0
